method,Q_m3s,total_headloss_m,mean_velocity_mps,max_velocity_mps,mean_Re,max_Re,mean_pressure_head_m,max_pressure_head_m,mean_energy_head_m,max_energy_head_m,mean_friction_slope,max_friction_slope,scenario_type,scenario_value
darcy,0.14785768830323148,0.011141818397203363,0.09757746282226884,0.357388888888889,116853.6659898178,284267.410663122,-11.427764924629047,0.0,-11.427033123064493,3.874133027522938e-05,1.6346357075016476e-05,0.0002278611879105515,discharge,0.5
manning,0.14785768830323148,0.04167374010217544,0.09757746282226884,0.357388888888889,116853.6659898178,284267.410663122,-11.44706757694958,0.0,-11.446335775385025,3.874133027522938e-05,0.00020373640622958192,0.0032581550046248253,discharge,0.5
hazen,0.14785768830323148,0.023723360981945017,0.09757746282226884,0.357388888888889,116853.6659898178,284267.410663122,-11.436069292535464,0.0,-11.435337490970907,3.874133027522938e-05,9.18584840777737e-05,0.001933832193123183,discharge,0.5
darcy,0.29571537660646297,0.044567273588813454,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.448471886358341,0.0,-11.44554468010012,0.00015496532110091752,6.53854283000659e-05,0.000911444751642206,discharge,1.0
manning,0.29571537660646297,0.16669496040870177,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.525682495640474,0.0,-11.522755289382257,0.00015496532110091752,0.0008149456249183277,0.013032620018499301,discharge,1.0
hazen,0.29571537660646297,0.08896527352662109,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.477818196802342,0.0,-11.474890990544123,0.00015496532110091752,0.00033160939481514706,0.006981139844335754,discharge,1.0
darcy,0.5914307532129259,0.17826909435525382,0.39030985128907536,1.429555555555556,467414.6639592712,1137069.642652488,-11.531299733275516,0.0,-11.519590908242641,0.0006198612844036701,0.0002615417132002636,0.003645779006568824,discharge,2.0
manning,0.5914307532129259,0.6667798416348071,0.39030985128907536,1.429555555555556,467414.6639592712,1137069.642652488,-11.840142170404052,0.0,-11.828433345371176,0.0006198612844036701,0.0032597824996733107,0.052130480073997204,discharge,2.0
hazen,0.5914307532129259,0.33446038170821546,0.39030985128907536,1.429555555555556,467414.6639592712,1137069.642652488,-11.634710071921214,0.0,-11.62300124688834,0.0006198612844036701,0.0011971108802161859,0.025201935152119898,discharge,2.0
darcy,1.4785768830323147,1.1141818397203356,0.9757746282226883,3.5738888888888893,1168536.6598981782,2842674.1066312203,-12.11109466169574,0.0,-12.037914505240263,0.003874133027522937,0.0016346357075016468,0.02278611879105514,discharge,5.0
manning,1.4785768830323147,4.167374010217541,0.9757746282226883,3.5738888888888893,1168536.6598981782,2842674.1066312203,-14.041359893749076,0.0,-13.9681797372936,0.003874133027522937,0.020373640622958183,0.3258155004624823,discharge,5.0
hazen,1.4785768830323147,1.9333647458812455,0.9757746282226883,3.5738888888888893,1168536.6598981782,2842674.1066312203,-12.65487827877049,0.0,-12.581698122315016,0.003874133027522937,0.006533099521982181,0.13753675888870623,discharge,5.0
