method,Q_m3s,total_headloss_m,mean_velocity_mps,max_velocity_mps,mean_Re,max_Re,mean_pressure_head_m,max_pressure_head_m,mean_energy_head_m,max_energy_head_m,mean_friction_slope,max_friction_slope,scenario_type,scenario_value
manning,0.29571537660646297,0.07501831597635038,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.467817452873046,0.0,-11.464890246614827,0.00015496532110091752,0.0002515264274439283,0.004022413585956574,manning_n,0.025
manning,0.29571537660646297,0.1143083064473581,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.492616756916231,0.0,-11.48968955065801,0.00015496532110091752,0.0004929917977900995,0.007883930628474886,manning_n,0.035
manning,0.29571537660646297,0.1977995361982495,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.545315278007994,0.0,-11.542388071749777,0.00015496532110091752,0.0010061057097757132,0.016089654343826296,manning_n,0.05
manning,0.29571537660646297,0.269831185395097,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.590780668753835,0.0,-11.587853462495614,0.00015496532110091752,0.001448792222077027,0.02316910225510987,manning_n,0.06
hazen,0.29571537660646297,0.09474446138358329,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.481592070726249,0.0,-11.478664864468028,0.00015496532110091752,0.0003665336195226796,0.0077163750350462005,hazen_C,90.0
hazen,0.29571537660646297,0.07591776214389204,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.469298026806515,0.0,-11.466370820548294,0.00015496532110091752,0.0002527619458858715,0.005321219842216286,hazen_C,110.0
hazen,0.29571537660646297,0.0647876741642194,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.462029955610891,0.0,-11.459102749352672,0.00015496532110091752,0.0001855016831573614,0.003905236738552286,hazen_C,130.0
darcy,0.29571537660646297,0.03880972323318169,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.444906655392684,0.0,-11.441979449134465,0.00015496532110091752,2.9450073082808757e-05,0.00041052135383471046,darcy_ff,0.01
darcy,0.29571537660646297,0.04022526743242099,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.44578319866207,0.0,-11.442855992403851,0.00015496532110091752,3.828509500765139e-05,0.0005336777599851235,darcy_ff,0.013
darcy,0.29571537660646297,0.043528203897312684,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.447828466290638,0.0,-11.444901260032422,0.00015496532110091752,5.8900146165617514e-05,0.0008210427076694209,darcy_ff,0.02
darcy,0.29571537660646297,0.048246684561443695,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.450750277188599,0.0,-11.447823070930378,0.00015496532110091752,8.835021924842628e-05,0.0012315640615041313,darcy_ff,0.03
darcy,0.29571537660646297,0.03115904389053295,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.440100791966309,0.0,-11.437173585708093,0.00015496532110091752,6.53854283000659e-05,0.000911444751642206,K_e,0.0
manning,0.29571537660646297,0.1532867307104213,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.517311401248445,0.0,-11.514384194990226,0.00015496532110091752,0.0008149456249183277,0.013032620018499301,K_e,0.0
hazen,0.29571537660646297,0.07555704382834058,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.469447102410314,0.0,-11.466519896152091,0.00015496532110091752,0.00033160939481514706,0.006981139844335754,K_e,0.0
darcy,0.29571537660646297,0.03920398170950125,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.445123448601532,0.0,-11.44219624234331,0.00015496532110091752,6.53854283000659e-05,0.000911444751642206,K_e,0.3
manning,0.29571537660646297,0.16133166852938954,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.522334057883665,0.0,-11.519406851625446,0.00015496532110091752,0.0008149456249183277,0.013032620018499301,K_e,0.3
hazen,0.29571537660646297,0.08360198164730889,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.47446975904553,0.0,-11.47154255278731,0.00015496532110091752,0.00033160939481514706,0.006981139844335754,K_e,0.3
darcy,0.29571537660646297,0.044567273588813454,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.448471886358341,0.0,-11.44554468010012,0.00015496532110091752,6.53854283000659e-05,0.000911444751642206,K_e,0.5
manning,0.29571537660646297,0.16669496040870177,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.525682495640474,0.0,-11.522755289382257,0.00015496532110091752,0.0008149456249183277,0.013032620018499301,K_e,0.5
hazen,0.29571537660646297,0.08896527352662109,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.477818196802342,0.0,-11.474890990544123,0.00015496532110091752,0.00033160939481514706,0.006981139844335754,K_e,0.5
darcy,0.29571537660646297,0.057975503287093944,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.456842980750373,0.0,-11.453915774492156,0.00015496532110091752,6.53854283000659e-05,0.000911444751642206,K_e,1.0
manning,0.29571537660646297,0.18010319010698225,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.534053590032505,0.0,-11.53112638377429,0.00015496532110091752,0.0008149456249183277,0.013032620018499301,K_e,1.0
hazen,0.29571537660646297,0.10237350322490159,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.486189291194375,0.0,-11.48326208493615,0.00015496532110091752,0.00033160939481514706,0.006981139844335754,K_e,1.0
darcy,0.29571537660646297,0.023884260718043265,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.435720740308263,0.0,-11.432793534050042,0.00015496532110091752,6.53854283000659e-05,0.000911444751642206,K_c,0.0
manning,0.29571537660646297,0.14601194753793156,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.512931349590396,0.0,-11.510004143332177,0.00015496532110091752,0.0008149456249183277,0.013032620018499301,K_c,0.0
hazen,0.29571537660646297,0.06828226065585088,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.465067050752262,0.0,-11.462139844494041,0.00015496532110091752,0.00033160939481514706,0.006981139844335754,K_c,0.0
darcy,0.29571537660646297,0.037672935965223385,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.444221504341646,0.0,-11.441294298083431,0.00015496532110091752,6.53854283000659e-05,0.000911444751642206,K_c,0.2
manning,0.29571537660646297,0.15980062278511167,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.521432113623781,0.0,-11.518504907365564,0.00015496532110091752,0.0008149456249183277,0.013032620018499301,K_c,0.2
hazen,0.29571537660646297,0.082070935903031,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.473567814785648,0.0,-11.470640608527429,0.00015496532110091752,0.00033160939481514706,0.006981139844335754,K_c,0.2
darcy,0.29571537660646297,0.044567273588813454,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.448471886358341,0.0,-11.44554468010012,0.00015496532110091752,6.53854283000659e-05,0.000911444751642206,K_c,0.3
manning,0.29571537660646297,0.16669496040870177,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.525682495640474,0.0,-11.522755289382257,0.00015496532110091752,0.0008149456249183277,0.013032620018499301,K_c,0.3
hazen,0.29571537660646297,0.08896527352662109,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.477818196802342,0.0,-11.474890990544123,0.00015496532110091752,0.00033160939481514706,0.006981139844335754,K_c,0.3
darcy,0.29571537660646297,0.05835594883599358,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.45697265039173,0.0,-11.45404544413351,0.00015496532110091752,6.53854283000659e-05,0.000911444751642206,K_c,0.5
manning,0.29571537660646297,0.1804836356558818,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.53418325967386,0.0,-11.531256053415644,0.00015496532110091752,0.0008149456249183277,0.013032620018499301,K_c,0.5
hazen,0.29571537660646297,0.1027539487738012,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.486318960835732,0.0,-11.48339175457751,0.00015496532110091752,0.00033160939481514706,0.006981139844335754,K_c,0.5
